"feature","chi2_score_single_blind","p_values_single_blind","sample_count_single_blind","correlation_to_single_blind"
"sometidas",10.108992104277661,0.0014754763366727672,12,0.04950036937894388
"fosfat",10.10020361817689,0.0014825294279004048,37,0.049500369378943844
"diagnozou",10.10020361817689,0.0014825294279004048,0,0.04950036937894389
"csstiklinicke",10.10020361817689,0.0014825294279004048,0,0.0686111305027645
"studyeficacia",10.090609478854551,0.0014902680744793416,21,0.06932814488837108
"trace",10.089205353620075,0.0014914040704048332,182,0.04950036937894389
"adalimumabbal",10.081284026600871,0.0014978292027626923,10,0.08573712667808951
"behavior",10.04138438690712,0.0015306212956737967,46,0.0700058382163231
"azad",10.026396289164008,0.0015431265219221374,16,0.05716756827064706
"szemcseppszuszpenzio",10.026396289164008,0.0015431265219221374,0,0.07000583821632309
"alcon",10.026396289164008,0.0015431265219221374,10,0.12453168506475264
"brinzolamid",10.026396289164008,0.0015431265219221374,67,0.049500369378943865
"protect",9.990406619227707,0.0015735785355017876,136,0.049500369378943886
"hemoglobin",9.974196990677292,0.001587492149413953,44,0.049500369378943886
"vitreous",9.96271177514833,0.0015974259095939294,51,0.04950036937894388
"formulations",9.962467486353018,0.0015976378816645142,139,0.044015216331339715
"sperimental",9.950286029712935,0.0016082440792125527,7,0.07000583821632309
"behandlingseffekten",9.923702106994295,0.0016316386299016974,1,0.04950036937894388
"inflammatorisk",9.923702106994295,0.0016316386299016974,6,0.049500369378943886
"telangiektasier",9.923702106994295,0.0016316386299016974,1,0.04950036937894389
"faciale",9.923702106994295,0.0016316386299016974,7,0.06849518113546618
"telangiectasiastopikal",9.923702106994295,0.0016316386299016974,1,0.0700058382163231
"brimonidin",9.923702106994295,0.0016316386299016974,48,0.06946358047583208
"dorsi",9.922687556431297,0.0016325382592802676,2,0.04950036937894388
"latissimus",9.922687556431297,0.0016325382592802676,2,0.049500369378943844
"dislipemia",9.915594762479921,0.0016388416832531026,6,0.04950036937894389
"fractures",9.860509395576056,0.001688643437091272,51,0.04950036937894388
"lipoaspirado",9.77678643227437,0.0017672892607569983,2,0.062107877197772526
"perianales",9.77678643227437,0.0017672892607569983,2,0.049500369378943844
"fistula",9.775097875025125,0.0017689130426472696,38,0.049500369378943865
"lozenge",9.771892771471498,0.0017719993536728126,16,0.04950036937894386
"grn",9.71305914744019,0.0018296320036396726,4,0.049500369378943844
"trabeculectomy",9.71305914744019,0.0018296320036396726,7,0.049500369378943886
"jendraber",9.71305914744019,0.0018296320036396726,0,0.04469900786487101
"initieret",9.71305914744019,0.0018296320036396726,1,0.04950036937894386
"str",9.71305914744019,0.0018296320036396726,7662,0.049500369378943886
"operativ",9.71305914744019,0.0018296320036396726,550,0.049500369378943865
"trabekulektomi",9.71305914744019,0.0018296320036396726,1,0.049500369378943844
"contact",9.681653938524065,0.001861170165475313,17,0.049500369378943886
"postoperatoria",9.665128088750881,0.0018779866749430482,7,0.04610934849612623
"knbi",9.652638322652447,0.0018907982330136632,2,0.06135112673652239
"jednoduse",9.652638322652447,0.0018907982330136632,0,0.03800577677347164
"avibaktamu",9.652638322652447,0.0018907982330136632,2,0.07000583821632309
"komplikovanou",9.652638322652447,0.0018907982330136632,4,0.04950036937894388
"nitrobrisni",9.652638322652447,0.0018907982330136632,0,0.04950036937894386
"acetonido",9.620216050018069,0.0019244709234013321,0,0.05139345055532189
"lomustina",9.612261066548117,0.001932825172430211,5,0.04950036937894387
"ravatan",9.589467135864114,0.0019569673196616795,26,0.07880672835044052
"microsurgery",9.585583904225368,0.0019611106109535636,1,0.03328127969599442
"dellorecchio",9.585583904225368,0.0019611106109535636,0,0.07000583821632303
"microchirurgia",9.585583904225368,0.0019611106109535636,1,0.049500369378943865
"elsep",9.582567790480427,0.0019643348488958367,2,0.0456110347053458
"fort",9.582567790480427,0.0019643348488958367,168,0.0495003693789439
"evolutif",9.582567790480427,0.0019643348488958367,0,0.05686823046504826
"tutkimukseen",9.578859540593843,0.0019683063498017175,1,0.07000583821632309
"colirio",9.576422606983439,0.0019709207145816253,14,0.04950036937894389
"sydanleikkauksen",9.563943461520982,0.0019843637339526823,0,0.04950036937894389
"satiety",9.550077162513967,0.0019994101220255946,3,0.049500369378943865
"practice",9.550064954268855,0.0019994234200897366,70,0.049500369378943865
